wavelength[nm] mua(SO2>98%,literature)[mm-1] mua(SO2=0%,literature)[mm-1] mus(SO2>98%,literature) g(SO2>98%,literature)[-] mus(SO2>98%,KK/PY)[mm-1] mus(SO2=0%,KK/PY)[mm-1] g(SO2>98%,KK/PY)[-] g(SO2=0%,KK/PY)[-]
340 46.46 48.90 53.80 0.8727 89.17 70.12 0.9943 0.9952
342 46.86 49.89 53.71 0.8720 89.22 70.02 0.9942 0.9951
344 47.23 50.81 53.63 0.8719 89.37 69.86 0.9942 0.9951
346 47.14 51.73 53.59 0.8724 89.94 69.68 0.9941 0.9950
348 46.73 52.68 53.54 0.8734 90.44 69.44 0.9940 0.9949
350 46.29 53.76 53.59 0.8750 90.96 69.11 0.9939 0.9949
352 45.80 54.73 53.84 0.8770 91.25 68.58 0.9939 0.9948
354 45.24 55.68 54.09 0.8793 91.48 68.10 0.9938 0.9947
356 44.37 56.62 54.37 0.8816 91.90 67.72 0.9938 0.9947
358 43.36 57.20 54.70 0.8841 92.56 67.64 0.9937 0.9946
360 42.38 57.74 54.59 0.8863 92.92 67.52 0.9937 0.9945
362 41.67 58.10 54.34 0.8881 93.05 67.39 0.9937 0.9945
364 41.22 58.43 54.08 0.8897 93.03 67.25 0.9937 0.9944
366 40.86 58.76 53.68 0.8913 92.66 67.07 0.9936 0.9944
368 40.72 59.10 53.23 0.8920 92.06 66.84 0.9936 0.9943
370 41.14 59.44 52.88 0.8922 90.92 66.57 0.9936 0.9943
372 42.09 59.74 52.49 0.8915 89.19 66.26 0.9936 0.9942
374 43.14 60.04 52.00 0.8902 87.52 65.93 0.9936 0.9941
376 44.26 60.34 51.33 0.8879 85.78 65.56 0.9936 0.9941
378 45.87 60.67 50.59 0.8851 83.85 65.15 0.9936 0.9941
380 47.86 61.28 49.79 0.8798 81.57 64.71 0.9935 0.9940
382 50.38 61.73 48.64 0.8741 79.10 64.17 0.9935 0.9940
384 54.31 62.83 47.42 0.8675 76.48 62.97 0.9935 0.9940
386 57.72 64.26 46.07 0.8603 73.63 61.59 0.9935 0.9939
388 62.58 65.75 44.93 0.8474 70.24 60.16 0.9934 0.9939
390 68.33 67.75 43.94 0.8379 66.26 58.39 0.9934 0.9938
392 73.62 71.01 43.03 0.8257 62.72 56.43 0.9932 0.9937
394 79.07 74.09 42.33 0.8127 59.85 54.90 0.9931 0.9937
396 84.00 76.95 41.77 0.7967 57.77 53.61 0.9929 0.9936
398 88.56 79.78 41.17 0.7863 56.09 52.39 0.9928 0.9935
400 93.07 82.54 40.12 0.7734 54.32 51.16 0.9926 0.9934
402 97.40 85.59 41.27 0.7866 52.31 49.55 0.9925 0.9933
404 101.82 89.21 40.25 0.7769 49.52 47.83 0.9924 0.9932
406 106.16 92.73 39.49 0.7726 45.77 46.47 0.9922 0.9930
408 110.73 96.09 38.90 0.7657 42.83 45.36 0.9916 0.9929
410 113.81 99.87 38.60 0.7604 42.44 44.39 0.9910 0.9927
412 116.09 104.21 38.95 0.7575 42.74 43.43 0.9904 0.9926
414 117.97 108.92 39.87 0.7585 43.62 42.46 0.9896 0.9924
416 118.04 114.03 41.09 0.7606 45.59 41.74 0.9890 0.9922
418 117.22 119.62 42.38 0.7657 47.68 41.18 0.9883 0.9919
420 115.39 125.10 43.91 0.7742 51.35 40.78 0.9876 0.9916
422 111.45 131.52 46.42 0.7896 56.08 40.43 0.9872 0.9914
424 106.30 139.37 49.90 0.8020 61.93 40.06 0.9870 0.9910
426 100.61 145.30 52.74 0.8141 68.03 40.40 0.9869 0.9906
428 94.94 151.01 55.61 0.8290 74.00 40.72 0.9870 0.9901
430 89.18 155.62 57.55 0.8390 79.94 40.89 0.9870 0.9896
432 82.69 159.31 60.51 0.8568 85.95 41.69 0.9871 0.9889
434 74.61 158.30 62.65 0.8710 95.79 43.48 0.9873 0.9882
436 66.95 156.93 64.74 0.8820 102.94 45.58 0.9877 0.9873
438 58.47 133.73 66.40 0.8928 105.63 50.05 0.9880 0.9865
440 51.07 118.33 68.83 0.9026 109.27 57.64 0.9882 0.9862
442 46.60 107.88 70.39 0.9220 111.29 63.54 0.9883 0.9860
444 42.24 88.84 72.82 0.9302 113.65 73.81 0.9885 0.9861
446 38.21 74.30 73.79 0.9343 114.47 81.66 0.9886 0.9862
448 34.26 54.74 75.05 0.9392 116.38 94.61 0.9887 0.9863
450 31.48 33.81 77.20 0.9447 116.55 118.29 0.9888 0.9869
452 29.42 25.94 78.01 0.9488 117.24 125.06 0.9888 0.9878
454 27.66 19.82 78.82 0.9520 118.02 128.16 0.9889 0.9884
456 26.00 17.04 79.42 0.9544 118.52 127.52 0.9889 0.9888
458 24.47 13.61 80.17 0.9567 118.65 126.75 0.9890 0.9890
460 22.82 11.45 80.31 0.9587 118.94 125.60 0.9890 0.9892
462 21.33 10.37 80.37 0.9611 119.16 124.50 0.9890 0.9894
464 20.10 9.64 80.85 0.9634 119.13 123.31 0.9890 0.9895
466 18.97 9.12 81.74 0.9651 119.26 122.08 0.9890 0.9896
468 17.93 8.65 82.77 0.9665 119.26 120.90 0.9890 0.9897
470 17.05 8.29 82.61 0.9677 119.15 119.73 0.9891 0.9897
472 16.30 7.99 83.21 0.9684 119.01 118.60 0.9891 0.9898
474 15.71 7.79 83.50 0.9690 118.85 117.42 0.9891 0.9898
476 15.16 7.60 83.81 0.9695 118.63 116.30 0.9891 0.9898
478 14.63 7.44 84.99 0.9700 118.38 115.20 0.9890 0.9898
480 14.15 7.31 86.13 0.9705 118.12 114.14 0.9890 0.9898
482 13.67 7.43 86.48 0.9714 117.80 113.05 0.9890 0.9899
484 13.30 7.56 86.75 0.9723 117.42 112.00 0.9890 0.9899
486 12.92 7.69 86.80 0.9731 117.03 110.99 0.9890 0.9899
488 12.54 7.86 86.81 0.9738 116.65 110.00 0.9890 0.9899
490 12.23 8.10 87.02 0.9743 116.26 108.96 0.9890 0.9898
492 11.94 8.35 87.52 0.9748 115.89 107.96 0.9889 0.9898
494 11.65 8.60 88.31 0.9752 115.52 106.99 0.9889 0.9898
496 11.37 8.87 88.75 0.9756 115.13 106.04 0.9889 0.9898
498 11.19 9.17 88.87 0.9759 114.73 105.10 0.9888 0.9898
500 11.05 9.50 88.63 0.9761 114.28 104.16 0.9888 0.9898
502 10.90 9.88 88.23 0.9762 113.83 103.25 0.9888 0.9897
504 10.74 10.25 87.75 0.9762 113.35 102.36 0.9888 0.9897
506 10.59 10.64 86.35 0.9762 112.88 101.49 0.9888 0.9897
508 10.52 10.99 85.75 0.9762 112.32 100.65 0.9887 0.9896
510 10.55 11.41 85.43 0.9763 111.71 99.82 0.9887 0.9896
512 10.74 11.91 85.03 0.9764 111.05 99.01 0.9887 0.9896
514 11.09 12.42 84.54 0.9765 110.29 98.21 0.9886 0.9895
516 11.59 12.92 83.74 0.9765 109.41 97.44 0.9886 0.9895
518 12.34 13.43 82.61 0.9763 108.32 96.68 0.9886 0.9894
520 13.26 13.98 81.42 0.9760 107.15 95.93 0.9886 0.9894
522 14.36 14.50 79.88 0.9756 105.81 95.16 0.9886 0.9894
524 15.62 15.22 78.06 0.9751 104.37 94.37 0.9885 0.9893
526 17.17 16.04 76.69 0.9744 102.87 93.59 0.9885 0.9893
528 19.20 16.96 75.28 0.9728 101.37 92.83 0.9884 0.9892
530 20.91 17.82 73.83 0.9707 99.91 92.08 0.9883 0.9892
532 22.48 18.66 72.78 0.9687 98.65 91.34 0.9883 0.9891
534 23.91 19.51 71.83 0.9668 97.67 90.60 0.9882 0.9891
536 25.17 20.37 71.10 0.9650 96.93 89.88 0.9881 0.9890
538 26.22 21.25 70.59 0.9637 96.44 89.18 0.9880 0.9890
540 27.13 22.13 70.14 0.9627 96.27 88.50 0.9879 0.9889
542 27.31 23.19 69.93 0.9625 96.43 87.87 0.9878 0.9888
544 26.79 24.01 69.89 0.9625 96.98 87.30 0.9877 0.9887
546 26.06 24.77 70.34 0.9627 97.79 86.81 0.9876 0.9887
548 25.15 25.45 70.86 0.9633 98.80 86.45 0.9875 0.9886
550 23.86 25.99 71.49 0.9642 99.80 86.20 0.9874 0.9885
552 22.54 26.38 72.27 0.9652 100.46 85.89 0.9874 0.9884
554 21.34 26.70 73.12 0.9664 100.86 85.66 0.9874 0.9884
556 20.29 26.80 73.70 0.9677 100.98 85.56 0.9874 0.9883
558 19.55 26.71 74.10 0.9690 100.71 85.54 0.9874 0.9883
560 19.12 26.56 74.13 0.9694 100.25 85.59 0.9873 0.9882
562 19.47 26.00 73.63 0.9696 99.50 85.77 0.9873 0.9881
564 20.14 25.38 72.90 0.9693 98.42 85.97 0.9873 0.9880
566 21.04 24.74 72.04 0.9687 97.07 86.17 0.9873 0.9880
568 22.56 24.06 70.98 0.9681 95.53 86.39 0.9872 0.9879
570 24.38 23.29 70.02 0.9677 93.95 86.59 0.9872 0.9879
572 25.62 22.38 69.20 0.9674 92.53 86.76 0.9871 0.9878
574 26.70 21.43 68.82 0.9670 91.56 86.91 0.9870 0.9878
576 27.20 20.49 68.84 0.9666 91.44 87.14 0.9869 0.9878
578 26.87 19.64 69.09 0.9663 92.37 87.45 0.9867 0.9877
580 25.75 18.87 70.07 0.9662 94.28 87.72 0.9865 0.9876
582 23.29 18.08 72.11 0.9669 96.77 87.97 0.9864 0.9876
584 20.06 17.27 74.68 0.9680 99.53 88.24 0.9863 0.9875
586 16.51 16.33 77.42 0.9692 101.95 88.55 0.9862 0.9874
588 12.68 15.30 79.88 0.9708 103.81 88.96 0.9862 0.9874
590 9.72 14.21 81.67 0.9724 105.02 89.50 0.9862 0.9873
592 7.32 13.12 83.13 0.9743 105.69 90.03 0.9862 0.9872
594 5.66 11.92 84.67 0.9759 105.95 90.54 0.9862 0.9872
596 4.48 10.60 85.58 0.9774 105.94 90.98 0.9862 0.9871
598 3.60 9.29 86.21 0.9784 105.74 91.35 0.9862 0.9871
600 2.62 7.53 86.88 0.9794 105.49 91.56 0.9861 0.9871
605 1.51 5.55 87.89 0.9809 104.02 90.96 0.9861 0.9870
610 0.88 4.07 88.09 0.9815 102.49 90.12 0.9860 0.9869
615 0.63 3.27 88.09 0.9820 101.04 89.04 0.9860 0.9869
620 0.46 2.82 88.28 0.9823 99.64 87.85 0.9859 0.9868
625 0.35 2.48 88.50 0.9824 98.30 86.66 0.9859 0.9867
630 0.28 2.27 88.55 0.9826 97.50 86.01 0.9857 0.9866
635 0.24 2.10 88.63 0.9827 96.75 85.38 0.9856 0.9864
640 0.20 1.98 88.84 0.9827 96.01 84.75 0.9854 0.9863
645 0.17 1.89 88.55 0.9826 95.30 84.15 0.9853 0.9862
650 0.16 1.80 88.01 0.9825 94.61 83.56 0.9852 0.9861
655 0.16 1.71 87.72 0.9825 93.44 82.50 0.9851 0.9859
660 0.15 1.64 87.61 0.9826 92.29 81.45 0.9850 0.9858
665 0.14 1.58 87.51 0.9828 91.16 80.44 0.9849 0.9857
670 0.14 1.51 87.25 0.9832 90.06 79.45 0.9848 0.9856
675 0.14 1.43 86.82 0.9830 88.98 78.47 0.9847 0.9855
680 0.14 1.35 86.61 0.9831 87.91 77.51 0.9846 0.9854
685 0.14 1.26 86.57 0.9834 86.87 76.57 0.9845 0.9853
690 0.13 1.17 86.35 0.9835 85.84 75.63 0.9843 0.9852
695 0.13 1.10 86.18 0.9835 84.83 74.71 0.9842 0.9850
700 0.14 1.00 85.70 0.9836 83.86 73.82 0.9841 0.9849
705 0.14 0.93 83.70 0.9837 83.35 73.40 0.9840 0.9848
710 0.17 0.87 83.33 0.9841 82.87 73.00 0.9838 0.9847
715 0.17 0.80 82.99 0.9840 82.40 72.61 0.9837 0.9845
720 0.18 0.75 82.57 0.9839 81.94 72.22 0.9835 0.9843
725 0.19 0.72 82.18 0.9839 81.46 71.82 0.9833 0.9841
730 0.20 0.70 81.64 0.9839 80.57 70.99 0.9831 0.9840
735 0.21 0.70 81.09 0.9839 79.67 70.13 0.9831 0.9839
740 0.22 0.72 80.66 0.9839 78.78 69.29 0.9830 0.9838
745 0.23 0.76 80.40 0.9838 77.90 68.45 0.9829 0.9837
750 0.24 0.81 80.22 0.9837 77.04 67.62 0.9827 0.9836
755 0.26 0.85 79.85 0.9836 76.19 66.84 0.9826 0.9834
760 0.27 0.84 79.41 0.9835 75.36 66.10 0.9824 0.9832
765 0.29 0.80 78.93 0.9835 74.54 65.39 0.9823 0.9831
770 0.30 0.73 78.42 0.9833 73.73 64.69 0.9822 0.9830
775 0.31 0.66 78.00 0.9832 72.95 64.01 0.9821 0.9829
780 0.33 0.59 77.61 0.9832 72.59 63.73 0.9819 0.9827
785 0.34 0.54 77.19 0.9832 72.25 63.47 0.9818 0.9826
790 0.36 0.51 76.82 0.9832 71.92 63.20 0.9816 0.9824
795 0.37 0.48 76.77 0.9831 71.59 62.94 0.9814 0.9822
800 0.38 0.47 76.73 0.9833 71.27 62.68 0.9812 0.9820
805 0.39 0.46 76.47 0.9832 70.53 62.00 0.9810 0.9818
810 0.40 0.45 76.10 0.9833 69.80 61.33 0.9809 0.9817
815 0.42 0.44 75.70 0.9833 69.08 60.66 0.9808 0.9816
820 0.43 0.44 75.48 0.9834 68.36 60.00 0.9807 0.9815
825 0.45 0.43 75.27 0.9835 67.66 59.35 0.9806 0.9814
830 0.46 0.43 75.06 0.9835 66.96 58.72 0.9804 0.9812
835 0.47 0.43 74.83 0.9834 66.28 58.09 0.9803 0.9811
840 0.48 0.43 74.65 0.9834 65.61 57.48 0.9801 0.9809
845 0.48 0.43 74.51 0.9833 64.95 56.87 0.9799 0.9807
850 0.49 0.42 74.20 0.9832 64.33 56.30 0.9798 0.9806
855 0.51 0.43 73.58 0.9831 64.06 56.08 0.9796 0.9804
860 0.51 0.43 72.87 0.9831 63.82 55.88 0.9794 0.9803
865 0.52 0.43 72.43 0.9831 63.58 55.69 0.9793 0.9801
870 0.53 0.43 72.29 0.9830 63.35 55.50 0.9791 0.9799
875 0.55 0.43 72.12 0.9829 63.09 55.29 0.9789 0.9797
880 0.56 0.44 71.63 0.9828 62.50 54.76 0.9788 0.9796
885 0.56 0.45 70.79 0.9828 61.90 54.20 0.9786 0.9794
890 0.56 0.45 70.07 0.9826 61.30 53.66 0.9784 0.9792
895 0.56 0.46 69.41 0.9824 60.72 53.12 0.9782 0.9791
900 0.56 0.46 68.86 0.9824 60.14 52.59 0.9781 0.9789
905 0.57 0.47 68.35 0.9823 59.57 52.07 0.9780 0.9788
910 0.57 0.47 68.07 0.9820 59.00 51.56 0.9778 0.9787
915 0.57 0.47 67.82 0.9820 58.44 51.05 0.9777 0.9786
920 0.57 0.47 67.54 0.9819 57.89 50.55 0.9776 0.9784
925 0.65 0.46 67.24 0.9818 57.38 50.09 0.9774 0.9783
930 0.65 0.45 66.86 0.9815 57.18 49.93 0.9772 0.9780
935 0.65 0.44 66.42 0.9812 57.01 49.81 0.9770 0.9778
940 0.65 0.43 66.08 0.9811 56.84 49.66 0.9768 0.9776
945 0.65 0.41 65.67 0.9810 56.67 49.55 0.9766 0.9774
950 0.65 0.39 65.21 0.9808 56.47 49.40 0.9763 0.9772
955 0.65 0.38 64.78 0.9805 55.99 48.97 0.9762 0.9770
960 0.66 0.36 64.38 0.9801 55.48 48.51 0.9760 0.9769
965 0.68 0.34 63.95 0.9800 54.97 48.06 0.9759 0.9767
970 0.69 0.32 63.58 0.9799 54.48 47.62 0.9758 0.9766
975 0.69 0.31 63.20 0.9798 53.99 47.18 0.9756 0.9765
980 0.68 0.29 62.68 0.9798 53.51 46.74 0.9755 0.9763
985 0.67 0.26 62.27 0.9798 53.04 46.31 0.9754 0.9762
990 0.66 0.25 62.09 0.9798 52.58 45.89 0.9752 0.9760
995 0.65 0.23 62.00 0.9800 52.11 45.47 0.9750 0.9758
1000 0.64 0.22 61.83 0.9801 51.66 45.04 0.9748 0.9756
1005 0.66 0.31 61.69 0.9801 51.32 44.74 0.9746 0.9754
1010 0.65 0.28 61.62 0.9801 51.01 44.46 0.9744 0.9752
1015 0.63 0.28 61.57 0.9800 50.69 44.18 0.9742 0.9750
1020 0.61 0.28 61.46 0.9800 50.38 43.90 0.9740 0.9748
1025 0.60 0.27 61.18 0.9800 50.07 43.62 0.9738 0.9747
1030 0.58 0.24 60.85 0.9800 49.76 43.35 0.9737 0.9745
1035 0.56 0.24 60.49 0.9800 49.46 43.08 0.9736 0.9744
1040 0.53 0.23 60.35 0.9800 49.16 42.81 0.9734 0.9743
1045 0.50 0.22 60.31 0.9800 48.86 42.55 0.9733 0.9741
1050 0.49 0.22 60.15 0.9800 48.56 42.28 0.9731 0.9739
1055 0.48 0.22 59.87 0.9800 48.27 42.02 0.9729 0.9737
1060 0.46 0.21 59.53 0.9799 47.97 41.77 0.9727 0.9735
1065 0.45 0.20 59.26 0.9799 47.69 41.52 0.9724 0.9732
1070 0.42 0.19 59.04 0.9799 47.41 41.27 0.9722 0.9730
1075 0.40 0.19 58.73 0.9800 47.13 41.02 0.9720 0.9728
1080 0.37 0.18 58.34 0.9802 46.85 40.78 0.9718 0.9726
1085 0.35 0.17 58.08 0.9801 46.58 40.54 0.9716 0.9724
1090 0.34 0.17 57.98 0.9802 46.30 40.30 0.9714 0.9722
1095 0.34 0.16 57.89 0.9804 46.02 40.06 0.9712 0.9721
1100 0.35 0.15 57.81 0.9797 45.74 39.82 0.9711 0.9719
1105 0.33 0.15 57.58 0.9834 45.48 39.59 0.9709 0.9718
1110 0.33 0.16 57.66 0.9832 45.21 39.36 0.9708 0.9716
1115 0.33 0.15 57.67 0.9832 44.95 39.13 0.9706 0.9715
1120 0.31 0.14 57.72 0.9832 44.69 38.90 0.9704 0.9713
1125 0.32 0.14 57.53 0.9829 44.43 38.68 0.9703 0.9711
1130 0.31 0.13 57.26 0.9828 44.18 38.45 0.9700 0.9709
1135 0.30 0.15 57.78 0.9832 43.92 38.23 0.9698 0.9706
1140 0.30 0.16 57.93 0.9835 43.67 38.01 0.9696 0.9704
1145 0.29 0.18 57.72 0.9834 43.43 37.79 0.9694 0.9702
1150 0.30 0.19 57.51 0.9832 43.18 37.58 0.9691 0.9699
1155 0.31 0.21 57.33 0.9830 42.94 37.37 0.9689 0.9697
1160 0.32 0.21 57.05 0.9829 42.69 37.16 0.9687 0.9695
1165 0.32 0.21 56.82 0.9828 42.46 36.96 0.9685 0.9693
1170 0.32 0.21 56.55 0.9827 42.22 36.76 0.9683 0.9691
1175 0.32 0.21 56.21 0.9827 41.99 36.56 0.9681 0.9689
1180 0.33 0.21 55.55 0.9827 41.76 36.36 0.9679 0.9688
1185 0.33 0.21 55.41 0.9827 41.54 36.17 0.9677 0.9686
1190 0.34 0.21 55.48 0.9827 41.31 35.97 0.9676 0.9684
1195 0.35 0.20 55.37 0.9827 41.09 35.78 0.9674 0.9683
1200 0.36 0.20 55.20 0.9826 40.88 35.59 0.9672 0.9681
1205 0.37 0.20 55.16 0.9826 40.70 35.40 0.9671 0.9679
1210 0.20 0.20 50.16 0.9784 40.48 35.22 0.9669 0.9677
1215 0.20 0.20 49.98 0.9784 40.25 35.03 0.9667 0.9675
1220 0.20 0.19 49.81 0.9784 40.04 34.85 0.9665 0.9673
1225 0.19 0.19 49.43 0.9784 39.82 34.67 0.9663 0.9671
1230 0.18 0.17 49.21 0.9784 39.61 34.49 0.9660 0.9668
1235 0.18 0.17 49.25 0.9784 39.40 34.31 0.9658 0.9666
1240 0.18 0.17 49.19 0.9783 39.19 34.13 0.9655 0.9664
1245 0.18 0.17 47.97 0.9782 38.99 33.96 0.9653 0.9661
1250 0.17 0.17 47.51 0.9781 38.79 33.78 0.9651 0.9659
1255 0.17 0.17 48.18 0.9781 38.58 33.61 0.9648 0.9656
1260 0.17 0.17 48.64 0.9783 38.38 33.44 0.9646 0.9654
1265 0.17 0.15 47.36 0.9781 38.19 33.27 0.9643 0.9652
1270 0.15 0.14 46.50 0.9775 37.99 33.10 0.9641 0.9650
1275 0.16 0.15 47.09 0.9774 37.79 32.93 0.9639 0.9648
1280 0.18 0.16 47.91 0.9778 37.59 32.76 0.9638 0.9646
1285 0.17 0.16 47.13 0.9778 37.40 32.59 0.9636 0.9645
1290 0.16 0.16 46.21 0.9778 37.21 32.43 0.9634 0.9643
1295 0.18 0.18 45.77 0.9778 37.01 32.26 0.9633 0.9641
1300 0.19 0.20 45.36 0.9779 36.82 32.09 0.9631 0.9640
1305 0.20 0.21 44.79 0.9780 36.63 31.93 0.9629 0.9638
1310 0.21 0.22 44.21 0.9776 36.44 31.76 0.9628 0.9636
1315 0.22 0.23 43.95 0.9772 36.25 31.60 0.9626 0.9634
1320 0.24 0.26 43.91 0.9769 36.06 31.43 0.9624 0.9632
1325 0.26 0.29 43.64 0.9766 35.87 31.27 0.9622 0.9630
1330 0.29 0.31 43.38 0.9768 35.68 31.11 0.9619 0.9627
1335 0.32 0.34 43.85 0.9771 35.49 30.95 0.9617 0.9625
1340 0.35 0.37 44.37 0.9775 35.31 30.80 0.9614 0.9622
1345 0.37 0.37 44.02 0.9775 35.13 30.65 0.9611 0.9619
1350 0.39 0.38 43.68 0.9771 34.95 30.49 0.9609 0.9617
1355 0.42 0.41 43.00 0.9764 34.76 30.33 0.9606 0.9614
1360 0.45 0.43 42.32 0.9754 34.58 30.17 0.9603 0.9611
1365 0.50 0.51 41.09 0.9744 34.38 29.99 0.9601 0.9609
1370 0.59 0.65 40.31 0.9736 34.18 29.81 0.9598 0.9607
1375 0.72 0.78 40.80 0.9738 33.97 29.64 0.9596 0.9604
1380 0.88 0.92 41.69 0.9741 33.77 29.48 0.9594 0.9602
1385 1.07 1.05 41.21 0.9743 33.57 29.32 0.9592 0.9600
1390 1.30 1.20 40.43 0.9741 33.37 29.16 0.9590 0.9599
1395 1.46 1.35 39.59 0.9733 33.20 29.01 0.9588 0.9597
1400 1.62 1.49 39.21 0.9725 33.04 28.86 0.9586 0.9595
1405 1.78 1.71 39.09 0.9715 32.90 28.74 0.9585 0.9594
1410 1.94 1.83 38.98 0.9707 32.78 28.63 0.9583 0.9592
1415 2.04 1.94 39.09 0.9699 32.67 28.53 0.9581 0.9590
1420 2.13 2.08 39.08 0.9695 32.56 28.43 0.9579 0.9588
1425 2.24 2.27 38.20 0.9694 32.45 28.33 0.9577 0.9586
1430 2.33 2.36 38.15 0.9697 32.35 28.26 0.9575 0.9584
1435 2.38 2.43 38.11 0.9692 32.26 28.19 0.9573 0.9582
1440 2.38 2.50 38.01 0.9686 32.18 28.12 0.9571 0.9579
1445 2.40 2.51 37.53 0.9683 32.10 28.07 0.9568 0.9576
1450 2.41 2.48 37.05 0.9685 32.02 28.01 0.9565 0.9574
1455 2.40 2.44 37.24 0.9686 31.94 27.96 0.9563 0.9571
1460 2.38 2.37 37.36 0.9685 31.86 27.91 0.9560 0.9568
1465 2.40 2.35 37.11 0.9682 31.78 27.84 0.9557 0.9565
1470 2.34 2.33 36.85 0.9684 31.72 27.78 0.9554 0.9562
1475 2.27 2.29 36.77 0.9689 31.65 27.72 0.9551 0.9559
1480 2.20 2.24 36.72 0.9693 31.59 27.67 0.9548 0.9556
1485 2.06 2.17 36.32 0.9684 31.54 27.61 0.9545 0.9553
1490 1.89 2.07 35.91 0.9681 31.48 27.57 0.9542 0.9550
1495 1.78 1.95 35.70 0.9682 31.39 27.52 0.9539 0.9548
1500 1.71 1.82 35.56 0.9683 31.31 27.46 0.9537 0.9545
1505 1.63 1.73 35.19 0.9685 31.23 27.39 0.9534 0.9543
1510 1.50 1.63 35.07 0.9687 31.15 27.32 0.9531 0.9540
1515 1.39 1.54 34.99 0.9690 31.06 27.25 0.9529 0.9538
1520 1.34 1.49 34.98 0.9693 30.97 27.18 0.9527 0.9536
1525 1.27 1.42 34.88 0.9688 30.87 27.11 0.9525 0.9534
1530 1.21 1.33 34.72 0.9683 30.78 27.04 0.9523 0.9532
1535 1.15 1.23 34.54 0.9686 30.68 26.97 0.9521 0.9530
1540 1.11 1.14 34.33 0.9688 30.59 26.90 0.9519 0.9528
1545 1.07 1.09 34.11 0.9685 30.49 26.81 0.9517 0.9526
1550 1.03 1.05 33.98 0.9683 30.40 26.73 0.9514 0.9524
